Column 1,Column 2
A slice of pizza sitting on a plate Snext to the rest of the pizza.: 0.9973692893981934,A slice of pizza ssitting on a plate next to the rest o te pizza.: 0.9609483480453491
A slice of pizza sitting on a plate snext to the rest of the pizza.: 0.9973692893981934,A slice of pizza itting on a plate next yo te rest of the pizza.: 0.9608362913131714
A slice of pizza sitting on a plate Nnext to the rest of the pizza.: 0.9967147707939148,A slice of pizza sitting on a plate unext to the resnt oXf the pizza.: 0.960717499256134
A slice of pizza sitting on a plate nNext to the rest of the pizza.: 0.9967147707939148,A slice f pizza sitting on a plate nrxt to thVe rest of the pizza.: 0.9603522419929504
A slice of pizza sitting on a plate nnext to the rest of the pizza.: 0.9967147707939148,A slice f pizza sititng kn a plate next to the rest of the pizza.: 0.9602681398391724
A slice of pizza sitting on a plate next to the rest oN the pizza.: 0.9961822628974915,A slpice of pizza sitting on a plate next to th rest of th pizza.: 0.9601736068725586
A slice of pizza sitting on a plate next to the rest on the pizza.: 0.9961822628974915,A slice of pizza itting on a plate next to teh rest of th pizza.: 0.9600426554679871
A slice of pizza sitting on a plate next to the rest of th pizza.: 0.9960907101631165,A slice lf pizza sotting on a plate next to the rest of thr pizza.: 0.9600009322166443
A slice of pizza sitting on a plate next to the rest of thI pizza.: 0.9960905909538269,A slicb of pizza stting on a plate next to the rest of he pizza.: 0.9597302675247192
A slice of pizza sitting on a plate next to the rest of thi pizza.: 0.9960905909538269,A sAice f pizza sitting on a plate nexpt to the rest of the pizza.: 0.9596631526947021
A slice of pizza sitting on a plate next to the rest oFf the pizza.: 0.9958202242851257,A slice fo pizza sitting on a plate next to the est of he pizza.: 0.9596618413925171
A slice of pizza sitting on a plate next to the rest off the pizza.: 0.9958202242851257,A slice f pizza sitting on a plate netx tk the rest of the pizza.: 0.9595440030097961
A slice of pizza sitting In a plate next to the rest of the pizza.: 0.9957436919212341,A slice of pizza sitting on a plate onext to the rest pf te pizza.: 0.959431529045105
A slice of pizza sitting in a plate next to the rest of the pizza.: 0.9957436919212341,A slice f pizza sitting in a plate next to te rest of the pizza.: 0.9593980312347412
A slice of pizza sitting on a plate Unext to the rest of the pizza.: 0.9954401850700378,A sllce of pizza sitting no a plate rnext to the rest of the pizza.: 0.9591062664985657
A slice of pizza sitting on a plate unext to the rest of the pizza.: 0.9954401850700378,A slice o pizza sitting in a plate next to tJe rest of the pizza.: 0.9589611887931824
A slice of pizza Rsitting on a plate next to the rest of the pizza.: 0.9954386353492737,A slXice of pizza sittCng on a plate Nnext to the rest of the pizza.: 0.9589123129844666
A slice of pizza rsitting on a plate next to the rest of the pizza.: 0.9954386353492737,A slice of pizza sitting on a Plate next t Yhe rest of the pizza.: 0.9587978720664978
A slice of pizza sitting on a plate next to the rest of he pizza.: 0.9949389696121216,A fslice of pizza itting on a plate nexot to the rest of the pizza.: 0.9587941765785217
A slice of pizza Lsitting on a plate next to the rest of the pizza.: 0.9941701292991638,A slice of pizza stiting on a plate next to th rest of th pizza.: 0.9586027264595032
A slice of pizza lsitting on a plate next to the rest of the pizza.: 0.9941701292991638,A slice oT pizza sitting on a plate next To the rest f the pizza.: 0.958599328994751
A slice oFf pizza sitting on a plate next to the rest of the pizza.: 0.9940260052680969,A slice o pizza stiting no a plate next to the rest of the pizza.: 0.9585360288619995
A slice off pizza sitting on a plate next to the rest of the pizza.: 0.9940260052680969,A slicG of pizza sitting on a plate neHxt to te rest of the pizza.: 0.9580236673355103
A slice of pizza sitting on a plate Fnext to the rest of the pizza.: 0.9935919046401978,A slice of pizza sittig on a plate Gnext to Ithe rest of the pizza.: 0.9579940438270569
A slice of pizza sitting on a plate fnext to the rest of the pizza.: 0.9935919046401978,A slice if pizza sitting on a plate nxt to the rest of he pizza.: 0.9577438831329346
A slice of pizza sitting on a plate Wnext to the rest of the pizza.: 0.993540346622467,A slice f pizza sitting no a plate next to the rest of he pizza.: 0.9576075077056885
A slice of pizza sitting on a plate wnext to the rest of the pizza.: 0.993540346622467,A slice of pizza sitting on a plate next to the dest o ths pizza.: 0.9574621319770813
A slice of pizza Bsitting on a plate next to the rest of the pizza.: 0.9935274720191956,A slice f pizza sittjing on a plate next to the rest f the pizza.: 0.9573936462402344
A slice of pizza bsitting on a plate next to the rest of the pizza.: 0.9935274720191956,A slice f pizza sitting on a plate nexlt to the rest of the Fpizza.: 0.9572893977165222
A slice of pizza Nsitting on a plate next to the rest of the pizza.: 0.9933633208274841,A slice fo pizza sitting on a plate neJxt t the rest of the pizza.: 0.9570988416671753
A slice of pizza nsitting on a plate next to the rest of the pizza.: 0.9933633208274841,A slixe of pizza sitting on a plate enxt t the rest of the pizza.: 0.9570639729499817
A slice of pizza sitting on a plate Gnext to the rest of the pizza.: 0.9933494329452515,A slicf of pizza sitting on a plate next io te rest of the pizza.: 0.9568619132041931
A slice of pizza sitting on a plate gnext to the rest of the pizza.: 0.9933494329452515,A slice vof pizza sitting on a plate next t the rest of thpe pizza.: 0.9568507075309753
A slice of pizza sitting on a plate next to Sthe rest of the pizza.: 0.9928661584854126,A slice f pizza sitting on a plate next to the reWt f the pizza.: 0.9567693471908569
A slice of pizza sitting on a plate next to sthe rest of the pizza.: 0.9928661584854126,A slice f pizza itting on a plate next to the resGt of the pizza.: 0.9567170739173889
A slice of pizza sitting on a plate Ynext to the rest of the pizza.: 0.9928385019302368,A slice of pizza sitting on a plate next to th resg of the rpizza.: 0.9566377401351929
A slice of pizza sitting on a plate ynext to the rest of the pizza.: 0.9928385019302368,A sliGce of pizza sitting on a plate next o te rest of the pizza.: 0.9565770626068115
A slice of pizza sitting on a plate next to the rest Uof the pizza.: 0.9928216934204102,A slicw fo pizza sitting on a plate next to the rest f the pizza.: 0.9564870595932007
A slice of pizza sitting on a plate next to the rest uof the pizza.: 0.9928216934204102,A slice of pizza itting on a plate nxt to Rthe rest of the pizza.: 0.9563135504722595
A slice of pizza Gsitting on a plate next to the rest of the pizza.: 0.9925575256347656,A slice if pizza sitting on a plate next to the rect of teh pizza.: 0.9562833309173584
A slice of pizza gsitting on a plate next to the rest of the pizza.: 0.9925575256347656,A slice of pizza sitting on a plate enxt o the rest of teh pizza.: 0.9562202095985413
A slice of pizza sitting on a plate Dnext to the rest of the pizza.: 0.9925569295883179,A slice f pizza sitting on a plate nedxt to tjhe rest of the pizza.: 0.9561483263969421
A slice of pizza sitting on a plate dnext to the rest of the pizza.: 0.9925569295883179,A slice of pizza sittng on a plate next to te rest of teh pizza.: 0.9561374187469482
A slice of pizza sitting on a plate next to Ythe rest of the pizza.: 0.9921661615371704,A slice og pizza sittig n a plate next to the rest of the pizza.: 0.9560555219650269
A slice of pizza sitting on a plate next to ythe rest of the pizza.: 0.9921661615371704,A slice of pizza stting on a plate next to the rest f th pizza.: 0.9559881687164307
A slice of pizza Yitting on a plate next to the rest of the pizza.: 0.9920728206634521,A slice of pizza sittng in a plate next to the rest of tbe pizza.: 0.9557362794876099
A slice of pizza yitting on a plate next to the rest of the pizza.: 0.9920728206634521,A slicPe o pizza sitting on a plate next to te rest of the pizza.: 0.9556289315223694
A slice of pizza sQitting on a plate next to the rest of the pizza.: 0.9920022487640381,A slice of Ypizza sitting in a plate next to te rest of the pizza.: 0.9556202292442322
A slice of pizza sqitting on a plate next to the rest of the pizza.: 0.9920022487640381,A slice of pizza sitting on a plate unext to th rest of te pizza.: 0.9555637836456299
A slice of pizza sitting on a plate next to the rest of Sthe pizza.: 0.9917445182800293,A slice o pizza itting on a plate next to the rest of the pTzza.: 0.9554751515388489
A slice of pizza sitting on a plate next to the rest of sthe pizza.: 0.9917445182800293,A sice f pizza sitting on a plate next to the rest of he pizza.: 0.955407977104187
A slice of pizza Citting on a plate next to the rest of the pizza.: 0.9917190670967102,A slicSe of pizza sitting on a plate next to th rest of thd pizza.: 0.9553040266036987
A slice of pizza citting on a plate next to the rest of the pizza.: 0.9917190670967102,A slice of pizza sitting on a plate next to he rest f teh pizza.: 0.9552584290504456
A slice of pizza sOitting on a plate next to the rest of the pizza.: 0.9915362000465393,A slice of pizza itting on a plate next to hte rest of he pizza.: 0.9552163481712341
A slice of pizza soitting on a plate next to the rest of the pizza.: 0.9915362000465393,A slice owf pizza sittng on a plate Dnext to the rest of the pizza.: 0.9551801085472107
A slice of pizza sitting on a plate next to the rest of tHhe pizza.: 0.9915181398391724,A slice f pizza sittiBng on a plate next to te rest of the pizza.: 0.9551780819892883
A slice of pizza sitting on a plate next to the rest of thHe pizza.: 0.9915181398391724,A slice o pizza sittting on a plate next to the rejt of the pizza.: 0.9551448225975037
A slice of pizza sitting on a plate next to the rest of thhe pizza.: 0.9915181398391724,A slice of pizza sitting on a plate next t tthe rest of teh pizza.: 0.9549846649169922
A slice of pizza sitting on a plate next tOo the rest of the pizza.: 0.9914602637290955,A sHice o pizza sitting on a plate next to thse rest of the pizza.: 0.9549493789672852
A slice of pizza sitting on a plate next too the rest of the pizza.: 0.9914602637290955,A slice if pizza sitCing Un a plate next to the rest of the pizza.: 0.9549375176429749
A slice of pizza Ysitting on a plate next to the rest of the pizza.: 0.9912784695625305,A slice fo pizza sitting on a plate enxt to the rest of dthe pizza.: 0.9549253582954407
A slice of pizza ysitting on a plate next to the rest of the pizza.: 0.9912784695625305,A slice Yof pizza sitting on a plate netx tRo the rest of the pizza.: 0.954868733882904
A slice of pizza sitting on a plate next to the rest of Tthe pizza.: 0.9912713170051575,A slice o pizza sititng on a plate next to the rest mof the pizza.: 0.9548578262329102
A slice of pizza sitting on a plate next to the rest of tThe pizza.: 0.9912713170051575,A slice fo pizza sittnig on a plate next to the rest Of the pizza.: 0.9548187851905823
A slice of pizza sitting on a plate next to the rest of tthe pizza.: 0.9912713170051575,A sice of pizza sitting on a pLate nsxt to the rest of the pizza.: 0.9548165202140808
A slice of pizza sitting on a plate next So the rest of the pizza.: 0.9912132024765015,A slice Oof pizza sittng Con a plate next to the rest of the pizza.: 0.954801082611084
A slice of pizza sitting on a plate next so the rest of the pizza.: 0.9912132024765015,A slice of pizza sitting on a plate neRxt to the rest or tte pizza.: 0.954698920249939
A slice If pizza sitting on a plate next to the rest of the pizza.: 0.9911475777626038,A slice os pizza sitting on a plate netx t the rest of the pizza.: 0.9546928405761719
A slice if pizza sitting on a plate next to the rest of the pizza.: 0.9911475777626038,A slicf fo pizza sitting on a plate next to the rest o the pizza.: 0.9546920657157898
A slice of pizza sitting on a plate Lnext to the rest of the pizza.: 0.9911154508590698,A slice fo pizza sitting on a plate enxt to the rest fo the pizza.: 0.9545776844024658
A slice of pizza sitting on a plate lnext to the rest of the pizza.: 0.9911154508590698,A dlice of pizza siting on a plate next to the rest of he pizza.: 0.9545757174491882
A slice of pizza sitting on a plate next to the Erest of the pizza.: 0.991000771522522,A slice of pizza sitting on a plate next to the est f the bpizza.: 0.9545081257820129
A slice of pizza sitting on a plate next to the erest of the pizza.: 0.991000771522522,A slice fo pizza sitting on a plate next to the rest f thw pizza.: 0.9544364213943481
A slice of pizza sitting on a plate next to the rest of the Spizza.: 0.9909610152244568,A slice of pizza sititng on a plate next to the rest o te pizza.: 0.9544129967689514
A slice of pizza sitting on a plate next to the rest of the spizza.: 0.9909610152244568,A slice fo pizza sitting on a plate fnext to yhe rest of the pizza.: 0.9543772339820862
A slice of pizza Gitting on a plate next to the rest of the pizza.: 0.9908716678619385,A wlice of pizza sitting on a plate next ta the rest off the pizza.: 0.9542425274848938
A slice of pizza gitting on a plate next to the rest of the pizza.: 0.9908716678619385,A sice of pizza Iitting on a plate next to thr rest of the pizza.: 0.9541686177253723
A slice of pizza Aitting on a plate next to the rest of the pizza.: 0.9908626079559326,A slice of pizza itting on a plate next to hte rest of th pizza.: 0.9541163444519043
A slice of pizza aitting on a plate next to the rest of the pizza.: 0.9908626079559326,A slice of pizza sitting on a plate enxt ot the rest of teh pizza.: 0.9540463089942932
A slice of pizza sGitting on a plate next to the rest of the pizza.: 0.9908145070075989,A sliYce of pizza sitting on a plate next to tte rest of teh pizza.: 0.9540449976921082
A slice of pizza sgitting on a plate next to the rest of the pizza.: 0.9908145070075989,A sliec of pizza sitting on a plate enxt to the est of the pizza.: 0.9539057612419128
A slice of pizza sJitting on a plate next to the rest of the pizza.: 0.990785539150238,A slice f pizza sitting no a plate next to the rest of te pizza.: 0.9538472890853882
A slice of pizza sjitting on a plate next to the rest of the pizza.: 0.990785539150238,A slice of pizza sitting in a plate bext tto the rest of the pizza.: 0.953835666179657
A slice of pizza sNitting on a plate next to the rest of the pizza.: 0.9907797574996948,A slice f pizza sitting on a plate noxt to the raest of the pizza.: 0.953825056552887
A slice of pizza snitting on a plate next to the rest of the pizza.: 0.9907797574996948,A slice of pizza sitting on a plate Snext fo thce rest of the pizza.: 0.9537964463233948
A slice of pizza Csitting on a plate next to the rest of the pizza.: 0.990768313407898,A slice of pizza sitting on a plate next to th sest f the pizza.: 0.9537959098815918
A slice of pizza csitting on a plate next to the rest of the pizza.: 0.990768313407898,A sTice of pizza sitting on a plate next No te rest of the pizza.: 0.9536474943161011
A slice of pizza sitting on a plate next to the rest Tof the pizza.: 0.9907366037368774,A slice of pizza sitting on a plate next ho yhe rest oF the pizza.: 0.9536056518554688
A slice of pizza sitting on a plate next to the rest tof the pizza.: 0.9907366037368774,A slice of pizza sititng on a plate next to Yhe rest of the pizzJa.: 0.9535598158836365
A slice of pizza sitting on a plate Tnext to the rest of the pizza.: 0.9907152056694031,A slice o pizza sitting on a plate next to the rest f Zthe pizza.: 0.9534851908683777
A slice of pizza sitting on a plate tnext to the rest of the pizza.: 0.9907152056694031,A sliec of pizza sItting on a plate next o the rest of the pizza.: 0.9534661173820496
A slice of pizza sittDing on a plate next to the rest of the pizza.: 0.9906526803970337,A sblice of pizza sitting on a plate next to the rest Of Gthe pizza.: 0.9534327983856201
A slice of pizza sittding on a plate next to the rest of the pizza.: 0.9906526803970337,A sliVce of pizza sitting on a plate enxt to Cthe rest of the pizza.: 0.9533404111862183
A slice of pizza Psitting on a plate next to the rest of the pizza.: 0.9906388521194458,A slile of pizza sitting on a plate next to the rest oP yhe pizza.: 0.9532895684242249
A slice of pizza psitting on a plate next to the rest of the pizza.: 0.9906388521194458,A slice on pizza ditting on a plate next to the rest of he pizza.: 0.9531805515289307
A slice of pizza sUitting on a plate next to the rest of the pizza.: 0.9906210899353027,A slice lf pizza sittiKng on a plate next to the rest of thr pizza.: 0.9529956579208374
A slice of pizza suitting on a plate next to the rest of the pizza.: 0.9906210899353027,A sice of pizza xitting on a plate next to thr rest of the pizza.: 0.9529868364334106
A slice of pizza sitting on a plate next to Tthe rest of the pizza.: 0.9906018376350403,A slice Iof pizza sitting in a plate next to the rest pf the pizza.: 0.9529472589492798
A slice of pizza sitting on a plate next to tThe rest of the pizza.: 0.9906018376350403,A slice of pizza sitting on a plate Wnext t the rest fof the pizza.: 0.9527896642684937
A slice of pizza sitting on a plate next to tthe rest of the pizza.: 0.9906018376350403,A slice of dpizza sitting on a plate next t te rest of the pizza.: 0.9527822732925415
A slice of pizza Esitting on a plate next to the rest of the pizza.: 0.9905158877372742,A slice f pizza sitting on a plate Jnext to the rest of teh pizza.: 0.9527599215507507
A slice of pizza esitting on a plate next to the rest of the pizza.: 0.9905158877372742,A slice of pizza sitying oWn a plate next to the rest of he pizza.: 0.9526171088218689
A slice of pizza sitting on a plate next tWo the rest of the pizza.: 0.990510880947113,A sRice of pizza sitting on a plate next to the rest f thl pizza.: 0.9525577425956726
A slice of pizza sitting on a plate next two the rest of the pizza.: 0.990510880947113,A slice of pizza sitting on a plate next fo thPe reKst of the pizza.: 0.9523894786834717
A slice of pizza Fsitting on a plate next to the rest of the pizza.: 0.9903766512870789,A slice lf pizza sitting on a plate next to the rest oe thpe pizza.: 0.9523718357086182
A slice of pizza fsitting on a plate next to the rest of the pizza.: 0.9903766512870789,A slice of pizza sitting on a plate enxt to he rest fo the pizza.: 0.9522982835769653
A slice of pizza Xsitting on a plate next to the rest of the pizza.: 0.9903464317321777,A slice of pizza sittDng on a plate next to thI rest of teh pizza.: 0.952198326587677
A slice of pizza xsitting on a plate next to the rest of the pizza.: 0.9903464317321777,A slice o pizza sitting on a plate next to he rest f the pizza.: 0.9521682262420654
A slice of pizza sitting on a plate next to the rest Yof the pizza.: 0.9903414249420166,A slice Uof pizza sitting on a plate next to yhe rest o the pizza.: 0.9521502256393433
A slice of pizza sitting on a plate next to the rest yof the pizza.: 0.9903414249420166,A slice fo pizza sititng os a plate next to the rest of the pizza.: 0.9520906805992126
A slice of pizza Iitting on a plate next to the rest of the pizza.: 0.9902915954589844,A sllce of pizza sitting on a plate next to th rrst of the pizza.: 0.952051043510437
A slice of pizza iitting on a plate next to the rest of the pizza.: 0.9902915954589844,A slice fo pizza sitting on a plate next to tbe wrest of the pizza.: 0.9520357847213745
A slice of pizza sitting on a plate nVxt to the rest of the pizza.: 0.9902792572975159,A slice fo piZza sitting on a plate next to txhe rest of the pizza.: 0.9519640803337097
A slice of pizza sitting on a plate nvxt to the rest of the pizza.: 0.9902792572975159,A slicp of pizza sitting on a plate next to Xthe rest of teh pizza.: 0.9519496560096741
A slice of pizza sitting on a plate next to the rest of the piZzza.: 0.9902662634849548,A slice of pizza sitting on a plate nrxt to te rest of th pizza.: 0.9518429040908813
A slice of pizza sitting on a plate next to the rest of the pizZza.: 0.9902662634849548,A slice of pizza siMting on a plate next to he rest of th pizza.: 0.9517253637313843
A slice of pizza sitting on a plate next to the rest of the pizzZa.: 0.9902662634849548,A slice fo pizza sitting in a plate netx to the rest of the pizza.: 0.9517160654067993
A slice of pizza sitting on a plate next to the rest of the pizzza.: 0.9902662634849548,A slice of pizza sitting in a plate next to the dest of he pizza.: 0.9517015218734741
A slice of pizza itting on a plate next to the rest of the pizza.: 0.9902639389038086,A slice Bf pizza sittint on a plate next to the rest of he pizza.: 0.9516826272010803
A slice of pizza Usitting on a plate next to the rest of the pizza.: 0.9902587532997131,A slice of pizza sitting on a plate nexr to the rert pf the pizza.: 0.9516570568084717
A slice of pizza usitting on a plate next to the rest of the pizza.: 0.9902587532997131,A slice Cof pizza sitting on a plate next to the rest fo thee pizza.: 0.9516518712043762
A slice of pizza sitting on a plate next to the rest f the pizza.: 0.9901894330978394,A slic of pizza sitting on a plate enxt to the rest of he pizza.: 0.9514964818954468
A slice of pizza sitting on a plate next to the rest of the Bpizza.: 0.9900514483451843,A slice of pizza sititng on a plate next to tMe rest of teh pizza.: 0.9514537453651428
A slice of pizza sitting on a plate next to the rest of the bpizza.: 0.9900514483451843,A sliec of pizza sitting on a plate enxt ot the rest of the pizza.: 0.9513583779335022
A slice of pizza sTitting on a plate next to the rest of the pizza.: 0.9899715781211853,A slice of pizza sitting om a plate next to the rest of he pizzAa.: 0.951354444026947
A slice of pizza stitting on a plate next to the rest of the pizza.: 0.9899715781211853,A slce of pizza sitting on a plate nkext tWo the rest of the pizza.: 0.9513440728187561
A slice of pizza sitting on a plate next to Uthe rest of the pizza.: 0.9899635910987854,A slice oWf pizza sitting on a plate enxt to the rest of tjhe pizza.: 0.9512351155281067
A slice of pizza sitting on a plate next to uthe rest of the pizza.: 0.9899635910987854,A slice of pizza sitting on a plate enxt o mthe rest of the pizza.: 0.9512170553207397
A slice of pizza Wsitting on a plate next to the rest of the pizza.: 0.9899141192436218,A sliec fo pizza sitting on a plate next to the rest of thd pizza.: 0.9512031078338623
A slice of pizza wsitting on a plate next to the rest of the pizza.: 0.9899141192436218,A slice of pizza siting on a plate enxt tp the rest of the pizza.: 0.9511635899543762
A slice of pizza sDitting on a plate next to the rest of the pizza.: 0.9899104237556458,A slice of pizza sitting in a plate next to tkhe rest of teh pizza.: 0.9510964155197144
A slice of pizza sditting on a plate next to the rest of the pizza.: 0.9899104237556458,A slice fo pizza sitting on a plate next to the rewt o the pizza.: 0.951074481010437
A slice of pizza sitting on a plate next to Wthe rest of the pizza.: 0.989863932132721,A slice fo pizza sVtting on a plate next to the rest f the pizza.: 0.9510635733604431
A slice of pizza sitting on a plate next to wthe rest of the pizza.: 0.989863932132721,A slice if pizza sitting on a plate enxt to the rtest of the pizza.: 0.9510579705238342
A slice of pizza Hsitting on a plate next to the rest of the pizza.: 0.9898501634597778,A slice of pizza sitting on a plate Gnext to thxe Iest of the pizza.: 0.951028048992157
A slice of pizza hsitting on a plate next to the rest of the pizza.: 0.9898501634597778,A slice of pizza aitting oI a plate next to the rest of thw pizza.: 0.9509405493736267
