Column 1,Column 2,Column 3,Column 4
A vintage bookstore with dusty shelveS and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creaksing woodn floor.: 0.9882461428642273,A vintage bookstore wih custy shelves nad a creaking wooden floor.: 0.9707509875297546,A vintage bookstore witg dusOty shelves nad a craking wooden floor.: 0.9550025463104248
A vintage bookstore with dusty shelves And a creaking wooden floor.: 1.0,A vintage bookstore with xdusty shelves and a Oreaking wooden floor.: 0.9881557822227478,A vintage bookstore with dRusty shelves and a craeking woodn floor.: 0.9706344604492188,A vintage booksTore wth udsty shelves anA a creaking wooden floor.: 0.954466700553894
A vintage bookstore with dusty shelves aNd a creaking wooden floor.: 1.0,A vintage bookstore wth dusty shelves anD a creaking wooden floor.: 0.9880794882774353,A vintage bookstore with duMsty shelves nad a craking wooden floor.: 0.9706113338470459,A vintage bookstore wit dudty shelves anS a crDeaking wooden floor.: 0.9543636441230774
A vintage bookstore with dusty shelves anD a creaking wooden floor.: 1.0,A vintage bookstore wth dusty shelves and a creaking wooDen floor.: 0.9880794882774353,A vintage bookstore wRth dusty shelves nad a creakinv wooden floor.: 0.9705630540847778,A vintagd bookstore wiht dusty shelves adn a creaklng wooden floor.: 0.9542542695999146
A vintage bookstore with dusty shelves and a Creaking wooden floor.: 1.0,A vintage bookstore with dusty Fshelves and a creAking wooden floor.: 0.9880369901657104,A vintagT bookstore with dusty shelves and a reaking woode floor.: 0.9702430963516235,A vintage bookstore witm hdusty shelves Land a creaikng wooden floor.: 0.9542327523231506
A vintage bookstore with dusty shelves and a cReaking wooden floor.: 1.0,A vintage bookstore with ddusty shelves and a reaking wooden floor.: 0.9878394603729248,A vintage bookstore with dusty Cshelves and a creakin woodne floor.: 0.9701905846595764,A vintage bookstore Mwith duDsty shelves adn a ceraking wooden floor.: 0.954086422920227
A vintage bookstore with dusty shelves and a crEaking wooden floor.: 1.0,A vintage bookstore with dusty shelves adn a ceraking wooden floor.: 0.9877859950065613,A vintage bookstore with dusty shelves Cand a creakin wooden kfloor.: 0.9698663353919983,A vintage bookstore Uwith dusty shelve adn a creakinQ wooden floor.: 0.9540514349937439
A vintage bookstore with dusty shelves and a creAking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creking woodn floor.: 0.9876827001571655,A vintage bookstore with dustCy shelves snd a reaking wooden floor.: 0.9697774648666382,A vintage bookstore wth dsty shelves nad a creakiRg wooden floor.: 0.9535943269729614
A vintage bookstore with dusty shelves and a creaKing wooden floor.: 1.0,A vintage bookstore with dusty shelves adn a creakin wooden floor.: 0.9875913858413696,A vintage bookstore with dsty shelves ad a creking wooden floor.: 0.9696726202964783,A vintage bookstore wit usty shelves and a cEreaking wooden Lfloor.: 0.9533789157867432
A vintage bookstore with dusty shelves and a creakIng wooden floor.: 1.0,A vintage bookstore with dusty shelves adn a creaing wooden floor.: 0.9875547289848328,A vintage bookstore with dusty shelve aSnd a creaknig wooden floor.: 0.9696683287620544,A vintage bookstore Twith duhsty shelves adn a crSaking wooden floor.: 0.9532751441001892
A vintage bookstore with dusty shelves and a creakiNg wooden floor.: 1.0,A vintage bookstore with dusty shelves and a reaking woodn floor.: 0.9875459671020508,A vintage bookstore wth dusty shelves and a ceraking woHoden floor.: 0.9695709347724915,A vintage bookstore with dusyy shelves aand a crwaking Qwooden floor.: 0.9532257914543152
A vintage bookstore with dusty shelves and a creakinG wooden floor.: 1.0,A vintage bookstore with dusty shelves and a cretaking wooen floor.: 0.9875231385231018,A vintage bookstore wit duIsty shelves and a creaikng wooden floor.: 0.9695031046867371,A vintage bookstore wih dusyy shelved adn a creaking wooden floor.: 0.9531728029251099
A vintage bookstore with dusty shelves and a creaking Wooden floor.: 1.0,A vintage bookstore with dusty shelves and a Fcreaking woodne floor.: 0.9874109625816345,A vintage bookstore with dustB shelve and a cdeaking wooden floor.: 0.9694613218307495,A vintagG bookstore width dusty shelves and a creking Jwooden floor.: 0.9531485438346863
A vintage bookstore with dusty shelves and a creaking wOoden floor.: 1.0,A vintage bookstore with dusty shelves adn a Kcreaking wooden floor.: 0.9873685836791992,A vintage bookstore aith dusty shelves an a cNeaking wooden floor.: 0.9694378972053528,A vintage bookstore wit dusty shelves adn a craking woLden floor.: 0.9527896642684937
A vintage bookstore with dusty shelves and a creaking woOden floor.: 1.0,A vintage bookstore wth dusty shelves and a creaking ywooden floor.: 0.9871615767478943,A vintage bookstore wth dustt shelves and a creGking wooden floor.: 0.9693805575370789,A vintage bookstore wit dusty shelves adn a reaking woodea floor.: 0.9525681734085083
A vintage bookstore with dusty shelves and a creaking wooDen floor.: 1.0,A vintage bookstore with dusty shelves adn a reaking wooden floor.: 0.9871373772621155,A vintagr bookstore withh dusty shelves and a creaknig wooden floor.: 0.9692832231521606,A vintage bookstore with duty shelves an a crSaking Iwooden floor.: 0.9524556994438171
A vintage bookstore with dusty shelves and a creaking woodEn floor.: 1.0,A vintage bookstore with dustLy shelves and a creaing wooden floor.: 0.9868184328079224,A vintage bookstore witHh dusty shelves iand a creakin wooden floor.: 0.9692268967628479,A svintage bookstore wih dAusty shelves an a creaking wooden floor.: 0.9524033069610596
A vintage bookstore with dusty shelves and a creaking woodeN floor.: 1.0,A vintage bookstore with dusty shelves and a creaaking wooden Bfloor.: 0.986797571182251,A vintage bookstore with dusty shelves adn a crealking wooden Ifloor.: 0.969072699546814,A vintage bookstore wth dTsty shelves anSd a jcreaking wooden floor.: 0.9522913694381714
A vintage bookstore with dusty shelves and a creaking wooden Floor.: 1.0,A vintage bookstore with Odusty shelves and a creaking Rwooden floor.: 0.9867366552352905,A Ovintage bookstore wih dusty shelves and a creaking Wwooden floor.: 0.9689781665802002,A vintage bookstore wit dWusty shelves snd a creking wooden floor.: 0.9521942138671875
A vintage bookstore with dusty shelves and a creaking wooden fLoor.: 1.0,A vintage bookstore with dusty shelves adn a craeking wooden floor.: 0.9867165684700012,A vintagZe bookstore wit dusty shelves and a creakibg wooden floor.: 0.9688529968261719,A vintage bookstore witK dsty shelves adn a creakign wooden floor.: 0.9518223404884338
A vintage bookstore with dusty shelves and a creaking wooden flOor.: 1.0,A vintage bookstore with dushy shelvEs and a creaking wooden floor.: 0.9866869449615479,A vintage bookstore Oith dusty shelves adn a creaking Ywooden floor.: 0.9688491225242615,A vintage bookstore with usty shelves aWnd a creakin woodwen floor.: 0.9517024755477905
A vintage bookstore with dusty shelves and a creaking wooden floOr.: 1.0,A vintage bookstore with dusty shelves and a ceraking woodn floor.: 0.9866233468055725,A vintage bookstore iwth dusty shelves nad a creakin wooden floor.: 0.9686468243598938,A vintage bookstore with dusty shelves anOd a creaikng woodne Dfloor.: 0.9516773223876953
A vintage bookstore with dusty shelves and a creaking wooden flooR.: 1.0,A vintage bookstore with dusty shelves and a creakinDg wooDen floor.: 0.9865656495094299,A vintage bookstore with dqusty shelDes an a creaking wooden floor.: 0.9683758616447449,A vintage bookstore with duIty xshelves ane a creFaking wooden floor.: 0.9514850378036499
A vintage bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintagd bookstore with dusty shelves and a creaking bwooden floor.: 0.9865058660507202,A vintage bookstore wth dusty shelves and a creaing wgoden floor.: 0.9683466553688049,A vintage bookstore wth dwusty shelves ad a creaBing wooden floor.: 0.9514532685279846
A vintage bookstore with dusty shelves and a creaking Ywooden floor.: 0.9997198581695557,A vintage bookstore with dusty shelves adn a ceaking wooden floor.: 0.9864526987075806,A vintage bookstore with dusry shelves ahd a creakin wooden floor.: 0.9683364033699036,A vintage bookstore wlth dusy sHelves and a creakijng wooden floor.: 0.9513577222824097
A vintage bookstore with dusty shelves and a creaking ywooden floor.: 0.9997198581695557,A vintage bookstore with dusty rshelves and a ceraking wooden floor.: 0.986416757106781,A vintagE bookstore wih dusty shelves and a creakign wooden floor.: 0.9680507183074951,A vintagr bookstore wath dsty Kshelves and a creaking wooden floor.: 0.9510685205459595
A vintage bookstore with dusty shelves and a creaking Lwooden floor.: 0.9997186660766602,A vintage bookstore wth dusty shelves and a ceraking wooden floor.: 0.986405611038208,A vintage bookstore wih dusty shelves an a creaeing wooden floor.: 0.9678381085395813,A vintage bookstore wth susty shexves and a creaikng wooden floor.: 0.9510541558265686
A vintage bookstore with dusty shelves and a creaking lwooden floor.: 0.9997186660766602,A vintage bookstore with dusty shelves adn a ckeaking wooden floor.: 0.9863617420196533,A vintage bookstore wigh dsty shelves nad a creaking wooden floor.: 0.9678023457527161,A vintagn bookstore wiht udsty shelves and a creakinrg wooden floor.: 0.9505929946899414
A vintage bookstore with dusty shelves and a creaking Nwooden floor.: 0.999422013759613,A vintage bookstore with udsty shelves and a creaping wooden floor.: 0.9863385558128357,A vintage bookstore with dhsty shelves an a crmeaking wooden floor.: 0.9677310585975647,A vintage bookstore with dusth shelves adn a creajing woodfn floor.: 0.950529932975769
A vintage bookstore with dusty shelves and a creaking nwooden floor.: 0.999422013759613,A vintage bookstore wth dusty shelves and a craeking wooden floor.: 0.9862658381462097,A vintage bookstore with dustt shelves and a ceeaking wooden Kfloor.: 0.967724084854126,A vintage bookstore wth desty shelves an a creaSking wooden floor.: 0.9501636028289795
A vintage bookstore with dusty shelves and a creaking Hwooden floor.: 0.9993312954902649,A vintage bookstore wIth dustt shelves and a creaking wooden floor.: 0.986126720905304,A vintage bookstore wth dusty shelves ansd a creakign wooden floor.: 0.967695951461792,A vintagT bookstore wiNh dusty shelves Wnd a creaTking wooden floor.: 0.9500545859336853
A vintage bookstore with dusty shelves and a creaking hwooden floor.: 0.9993312954902649,A vintage bookstore with dustt shelves and a creAking wooden floor.: 0.986126720905304,A vintage bookstore wiith dusty shelves and a craking wooden kfloor.: 0.9675999283790588,A vintage bookstore ith dSsty shelves adn a crfaking wooden floor.: 0.949835479259491
A vintage bookstore with dusty shelves and a creaking Uwooden floor.: 0.9992721080780029,A vintage bookstore with dusty shelves and a creaYking Dwooden floor.: 0.9860708713531494,A vintage bookstore with dussty shelves aGnd a Sreaking wooden floor.: 0.9675951600074768,A vintage bookstore with dusty shelve ahd a creking wvooden floor.: 0.9498273134231567
A vintage bookstore with dusty shelves and a creaking uwooden floor.: 0.9992721080780029,A vintage bookstore with dusty shelves and a ceraking woosen floor.: 0.9860337376594543,A vintage bookstore with dusty shelves an a creaking dwooden rfloor.: 0.9674617648124695,A vintage bookstore wit dusty shelve and a craeking woodeLn floor.: 0.9497683048248291
A vintage bookstore with dusty shelves and a creaking Dwooden floor.: 0.9991443753242493,A vintage bookstore wit dusty shelves and a creakin wooden floor.: 0.9860203266143799,A vintage bookstore with duHty shelve and a cqreaking wooden floor.: 0.9672496318817139,A vintage bookstore wijh dusty shelve an a creakkng wooden floor.: 0.9495150446891785
A vintage bookstore with dusty shelves and a creaking dwooden floor.: 0.9991443753242493,A vintage bookstore with dusty shelves adn a creakWing wooden floor.: 0.9857125282287598,A vintage bookstore with Wdusty shelves nad a crwaking wooden floor.: 0.9672353267669678,A vintage bookstore wth dusty sehlves an a creaming wooden floor.: 0.9494856595993042
A vintage bookstore with dusty shelves and a creaking Cwooden floor.: 0.9990820288658142,A vintage bookstore with Xdusty shelves and a creakng wooden floor.: 0.9856128692626953,A vintage bookstore wRth fusty shelves nad a creaking wooden floor.: 0.9670872092247009,A vintagd bookstore ith dusty sheLves and a crheaking wooden floor.: 0.9493904709815979
A vintage bookstore with dusty shelves and a creaking cwooden floor.: 0.9990820288658142,A vintage bookstore with dusty shelves and a ceraking woodwn floor.: 0.9856082201004028,A vintage bookstore with dsuty shelves And a crfaking wooden floor.: 0.9670642614364624,A vintage bookstore with dusly stelves Jand a creakiNg wooden floor.: 0.9493494629859924
A vintage bookstore with dusty shelves and a creaking Mwooden floor.: 0.9990178942680359,A vintage bookstore wth dusty shelves and a crsaking wooden floor.: 0.9855812191963196,A vintage bookstore Bwith dulty shelves an a creaking wooden floor.: 0.9670619964599609,A vintagV bookstore with udsty shflves and a crRaking wooden floor.: 0.9493302702903748
A vintage bookstore with dusty shelves and a creaking mwooden floor.: 0.9990178942680359,A vintage bookstore wit dusty shelves and a dreaking wooden floor.: 0.9855194687843323,A vintage bookstore with dusty shelves abnd a creaPking wooen floor.: 0.9670599102973938,A vintage boOkstore wit dusty shelves and a creakkng woiden floor.: 0.9492709040641785
A vintage bookstore with dusty shelves and a creaking Owooden floor.: 0.9988853931427002,A vintage bookstore with dsty shelves anD a creaking wooden floor.: 0.9854863882064819,A vintage bookstore eith dsty shelves an a creaking wooden floor.: 0.9669901728630066,A vintage bookstore wiht Pdusty shelves and a crezking Twooden floor.: 0.9491618275642395
A vintage bookstore with dusty shelves and a creaking owooden floor.: 0.9988853931427002,A vintage bookstore with dusty shelves and a creapking wooden Rfloor.: 0.9854759573936462,A vintage bookstore Swith dusty shelves and a creakijg Dwooden floor.: 0.966836154460907,A vintage bookstore with dusty Hshelves land a Kreaking looden floor.: 0.9489163160324097
A vintage bookstore with dusty shelves and a cLeaking wooden floor.: 0.998749852180481,A vintage bookstore with dusty shelves adn a creraking wooden floor.: 0.9854398965835571,A vintage bookstore with susty shelves nad a crekaing wooden floor.: 0.9667547345161438,A vintagf bookstore wiht dusty shelves amd a creaing wooden floor.: 0.9487396478652954
A vintage bookstore with dusty shelves and a cleaking wooden floor.: 0.998749852180481,A vintage bookstore with udsty shelves and a creaing wooden floor.: 0.9854258298873901,A vintage bookstore with udsty sDelves and a ceraking wooden floor.: 0.9667141437530518,A vintage bookstore witK dusty shelves adn a creaking gwooden Xfloor.: 0.9486417770385742
A vintage bookstore with dusty shelves and a creaking Gwooden floor.: 0.9985520243644714,A vintage bookstore with dusty Eshelves and a creJking wooden floor.: 0.9853417873382568,A vintage bookstore with Ddusty shelves Wnd a creakign wooden floor.: 0.9666458368301392,A vintage bookstorE with dusty sLhelves and a creakiXng uwooden floor.: 0.9486407041549683
A vintage bookstore with dusty shelves and a creaking gwooden floor.: 0.9985520243644714,A vintage bookstore wit dusty shelves and a creakzing wooden floor.: 0.9852067828178406,A vintage bookstore Cith dusth shelves adn a creaking wooden floor.: 0.9666197299957275,A vintage bookstore wiqth ousty shelves and a creyaking woodne floor.: 0.948561429977417
A vintage bookstore with dusty shelves and a crAeaking wooden floor.: 0.9985177516937256,A Cvintage bookstore with dusty shelves and a creakint wooden floor.: 0.985130250453949,A vintage bookstore with dusty shelves adn a craking wpoden floor.: 0.9666196703910828,A vintage bookstore wiht dusty shelvrs an a craeking wooden floor.: 0.9484997391700745
A vintage bookstore with dusty shelves and a craeaking wooden floor.: 0.9985177516937256,A vintage bookstore with dustY shelves anDd a creaking wooden floor.: 0.9850655198097229,A Tvintage bookstore with dusty shelves nad a rceaking wooden floor.: 0.9666034579277039,A vintage bookstore With dusty hselves Kand a creakinR wooden floor.: 0.94843590259552
A vintage bookstore with dusty shelves and a creaking Wwooden floor.: 0.9984896183013916,A vintage bookstore with dusty shelFves and a creazking wooden floor.: 0.9850553274154663,A vintage bookstore wivth dsuty shelves nad a creaking wooden floor.: 0.9665809273719788,A vintage bookstore with dusty Lshelves nad a craking worden floor.: 0.9483112096786499
A vintage bookstore with dusty shelves and a creaking wWooden floor.: 0.9984896183013916,A vintage bookstore with dDusty shelves and a creaking fwooden floor.: 0.9850010871887207,A vintage bookstore wiht dusty shelves nad a crekaing wooden floor.: 0.9665777087211609,A vintage bookstore wtih udsty shelves adn a hcreaking wooden floor.: 0.9482136368751526
A vintage bookstore with dusty shelves and a creaking wwooden floor.: 0.9984896183013916,A vintage bookstore with dusty shelves an a creaking Wwooden floor.: 0.984889805316925,A vintage bookstore wit usty shelves and a creakng wooden floor.: 0.966497004032135,A vintage bookstore wiyh dusth shelves adn a crehaking wooden floor.: 0.9480061531066895
A vintage bookstore with dusty shelves and a Gcreaking wooden floor.: 0.9984634518623352,A vintage bookstore with dusty shelves and a ceaking woodne floor.: 0.9848713278770447,A vintage bookstore with dusty shelves anx a creapking Zwooden floor.: 0.9663461446762085,A vintagd bookstore with dusty shelvmes cand a craking wooden floor.: 0.947907567024231
A vintage bookstore with dusty shelves and a gcreaking wooden floor.: 0.9984634518623352,A vintage bookstore with dusty shelves adn a kreaking wooden floor.: 0.9848000407218933,A vintage bookstore wit dusty shelves ang a ceraking wooden floor.: 0.9662782549858093,A vintage bookstore witXh duaty shelves nad a creaMing wooden floor.: 0.9478545784950256
A vintage bookstore with dusty shelves and a cHreaking wooden floor.: 0.9984539747238159,A vintage bookstore with Ydusty shelves and a creakinr wooden floor.: 0.9847235679626465,A vintage bookstore with dustl shelves adn a creajing wooden floor.: 0.9660990834236145,A vintage bookstore woith dust shMlves and a creakign wooden floor.: 0.9476648569107056
A vintage bookstore with dusty shelves and a chreaking wooden floor.: 0.9984539747238159,A vintage bookstore wit dusty shelves and a creakign wooden floor.: 0.9846034049987793,A vintage bookstore witIh sdusty shelVes and a creaking wooden floor.: 0.966081976890564,A vintage bookstore with dust shevles and a creaming Ewooden floor.: 0.947618305683136
A vintage bookstore with dusty shelves and a creAaking wooden floor.: 0.9984418749809265,A vintage bookstore with dustdy shelves and a cKeaking wooden floor.: 0.9846009612083435,A vintage bookstore with dust shelves adn a cyeaking wooden floor.: 0.9660729765892029,A vintage bookstore witu Ldusty shelves anr a ceraking wooden floor.: 0.9475588202476501
A vintage bookstore with dusty shelves and a creaAking wooden floor.: 0.9984418749809265,A vintage bookstore with dusty shelves adn a creakhng wooden floor.: 0.9845643639564514,A vintagn bookstore with dustmy shelves and a creaikng wooden floor.: 0.965975821018219,A vintage bookstore with udsty sheves aXnd a reaking wooden floor.: 0.9473837614059448
A vintage bookstore with dusty shelves and a creaaking wooden floor.: 0.9984418749809265,A vintage bookstore with dusty shelves fand a nreaking wooden floor.: 0.9845520257949829,A vintage bookstore with dustj Zshelves and a creaking wooden sfloor.: 0.9659221172332764,A vintage bookstore twith dusgy shelve and a ceaking wooden floor.: 0.9471924901008606
A vintage bookstore with dusty shelves and a creaMing wooden floor.: 0.9983556866645813,A vinTage bookstore wwith dusty shelves and a creaking wooden floor.: 0.9845060706138611,A vintage bookstore wlth dusty shelve adn a creaking wooden floor.: 0.9658994674682617,A vintage bookstore eith dusyt shelves an a creakKng wooden floor.: 0.9470848441123962
